t_start_us,t_end_us,bytes,dir,idle_us
0,3678,4194304,H2D,0
4956,5127,0,Kernel,1278
5190,5365,0,Kernel,63
5381,5538,0,Kernel,16
5577,5720,0,Kernel,39
5763,5906,0,Kernel,43
5952,6102,0,Kernel,46
6142,6290,0,Kernel,40
6332,6476,0,Kernel,42
6521,6848,0,Kernel,45
6904,9434,4194304,D2H,56
